State,Average Annual Precipitation in Inches from 1971 to 2000
Alabama,58.3
Alaska,22.5
Arizona,13.6
Arkansas,50.6
California,22.2
Colorado,15.9
Connecticut,50.3
Delaware,45.7
Florida,54.5
Georgia,50.7
Hawaii,63.7
Idaho,18.9
Illinois,39.2
Indiana,41.7
Iowa,34
Kansas,28.9
Kentucky,48.9
Louisiana,60.1
Maine,42.2
Maryland,44.5
Massachusetts,47.7
Michigan,32.8
Minnesota,27.3
Mississippi,59
Missouri,42.2
Montana,15.3
Nebraska,23.6
Nevada,9.5
New Hampshire,43.4
New Jersey,47.1
New Mexico,14.6
New York,41.8
North Carolina,50.3
North Dakota,17.8
Ohio,39.1
Oklahoma,36.5
Oregon,27.4
Pennsylvania,42.9
Rhode Island,47.9
South Carolina,49.8
South Dakota,20.1
Tennessee,54.2
Texas,28.9
Utah,12.2
Vermont,42.7
Virginia,44.3
Washington,38.4
West Virginia,45.2
Wisconsin,32.6
Wyoming,12.9
